sub _id,first_name,last_name,Street,Birth_date,Gender,Phone,Country,City,Zip Code,Subgrp_id,Elig_ind,eff_date,term_date
SUBID10000,Harbir,Vishwakarma,Baria Marg,1924-06-30,Female,+91 0112009318,India,Rourkela,767058,S107,Y,1944-06-30,1954-01-14
SUBID10001,Brahmdev,Sonkar,Lala Marg,1948-12-20,Female,+91 1727749552,India,Tiruvottiyur,34639,S105,Y,1968-12-20,1970-05-16
SUBID10002,Ujjawal,Devi,Mammen Zila,1980-04-16,Male,+91 8547451606,India,Berhampur,914455,S106,N,2000-04-16,2008-05-04
SUBID10003,Ballari,Mishra,Sahni Zila,1969-09-25,Female,+91 0106026841,India,Bihar Sharif,91481,S104,N,1989-09-25,1995-06-05
SUBID10004,Devnath,Srivastav,Magar Zila,1946-05-01,Female,+91 1868774631,India,Bidhannagar,531742,S110,N,1966-05-01,1970-12-09
SUBID10005,Atasi,Seth,Khatri Nagar,1967-10-02,Male,+91 9747336855,India,Amravati,229062,S104,Y,1987-10-02,1995-02-13
SUBID1006,Manish,Maurya,Swaminathan Chowk,1967-06-06,Male,+91 4354294043,India,Panvel,438733,S109,,1987-06-06,1995-03-21
SUBID10007,Aakar,Yadav,Swamy,1925-03-05,Female,+91 2777633911,India,Bihar Sharif,535907,S104,N,1945-03-05,1946-11-07
SUBID10008,Gurudas,Gupta,Sarin Nagar,1945-05-06,Male,+91 1232859381,India,Kamarhati,933226,S103,Y,1965-05-06,1970-09-16
SUBID10009,,Gupta,Thakur Circle,1925-06-12,Male,+91 1780763280,India,Bangalore,957469,S105,Y,1945-06-12,1953-08-30
SUBID1010,,Divedi,Dhillon,1976-02-03,Male,+91 5586075345,India,Rajkot,911319,S102,Y,1996-02-03,2002-01-27
SUBID10011,,Vishwakarma,Rajagopalan,1955-01-22,Female,+91 4146391938,India,Ghaziabad,337042,S106,N,1975-01-22,1978-11-02
SUBID10012,Dharmadaas,Tiwari,Rama,1964-04-29,Male,+91 6345482027,India,Bhalswa Jahangir Pur,430793,S103,N,1984-04-29,1988-02-07
SUBID10013,Brahmvir,Rai,Shah Path,1991-11-11,Male,+91 7316972612,India,Ambala,249898,S106,N,2011-11-11,2020-05-23
SUBID10014,,Srivastav,Chandra Path,1981-01-25,Female,+91 2960004518,India,Surendranagar Dudhrej,111966,S102,N,2001-01-25,2005-07-13
SUBID10015,Bhagvan,Srivastav,Edwin,1966-07-24,Female,+91 0297693485,India,Bhimavaram,436513,S105,Y,1986-07-24,1988-02-04
SUBID10016,Amritkala,Srivastav,Guha Path,1933-11-20,Female,+91 0537157280,India,Meerut,863467,S106,Y,1953-11-20,1955-07-29
SUBID10017,Bandhu,Seth,Varughese,1996-10-15,Male,+91 0695289163,India,Chinsurah,136713,S108,N,2016-10-15,2018-06-08
SUBID10018,Bhagavaana,Kumar,Kulkarni Zila,1935-09-16,Female,+91 6071745855,India,Shahjahanpur,597276,S101,N,1955-09-16,1958-05-31
SUBID10019,,Maurya,Sharaf Nagar,1924-11-09,Female,+91 8906694405,India,Jabalpur,958538,S104,N,1944-11-09,1951-10-14
SUBID1020,Umang,Srivastav,Balay Chowk,1963-07-14,Female,+91 9485838770,India,Haridwar,181692,S109,Y,1983-07-14,1986-01-15
SUBID1021,Darsana,Yadav,Upadhyay Zila,1932-05-29,Male,+91 7676311811,India,Dibrugarh,187414,S109,Y,1952-05-29,1953-10-14
SUBID10022,Prakash,Rao,Sachar,1923-09-15,Female,+91 9268324471,India,Kottayam,180680,,N,1943-09-15,1948-10-19
SUBID10023,Vaijayanti,Pratap,Khalsa Nagar,1920-11-13,Male,+91 9358851649,India,Mira-Bhayandar,419190,S102,Y,1940-11-13,1946-03-10
SUBID10024,Menakshi,Seth,Wable Street,1987-03-06,Male,+91 0531676556,India,Kamarhati,882577,S107,N,2007-03-06,2014-02-25
SUBID10025,,Tiwari,Sha Chowk,1955-12-24,Male,+91 2416747182,India,Karimnagar,567762,S106,N,1975-12-24,1983-02-03
SUBID10026,Ekant,Sonkar,Walla Road,1943-08-13,Male,+91 7686951174,India,Berhampore,948589,S110,Y,1963-08-13,1967-05-29
